"id_cata","code_cata","codbarra_cata","nomb_cata","id_fami","id_sgrup","id_grup","id_unid","id_marca","id_orig","id_colo","id_teji","id_tall","ubic_cata","pfob_cata","pcif_cata","esta_cata","id_emp","desc_cata","tipo_cata","stockmin_cata","combo_cata","textil_cata","gene_cata","gcmarca_cata"
"200","VARIOS-110","","EMPANADA DE CHARQUE (SNACK)","41","68","51","1","1","2","0","0","0","","12.50","12.50","1","1","","2","0.00","0","0","0","1"
"201","HELADOSCABRERA-24","","HELADO GRANIZADO 1 LT","42","68","51","1","9","2","0","0","0","","12.50","12.50","1","1","","2","0.00","0","0","0","1"
"202","HELADOSCABRERA-25","","MOCOCHINCHI EN JARRA SN","42","68","51","1","9","2","0","0","0","","1.00","0.00","1","1","","2","0.00","0","0","0","1"
"203","VARIOS-102","","ESPRESSO CAFE  SN","41","67","48","1","1","2","0","0","0","","12.50","12.50","1","1","ANTES HELADO DE COCO","2","0.00","0","0","0","1"
"204","204","","JUGUETE","42","68","51","1","9","2","0","0","0","","9.00","12.50","1","1","","2","0.00","0","0","0","0"
"205","VARIOS-103","","CAPPUCCINO - SN","41","67","48","1","1","1","0","0","0","","12.50","12.50","1","1","ANTES HELADO CON NUEZ","2","0.00","0","0","0","1"
"206","HELADOSCABRERA-29","","COPA OREO - SN","42","68","51","1","9","2","0","0","0","","12.50","12.50","1","1","","2","0.00","0","0","0","1"
"207","HELADOSCABRERA-30","","HELADO MENTA CHIPS","42","68","51","1","9","2","0","0","0","","12.50","12.50","1","1","","2","0.00","0","0","0","1"
"208","VARIOS-108","","HELADO 11111","1","68","51","1","1","2","0","0","0","","3.50","12.50","1","1","","2","0.00","0","0","0","1"
"209","VARIOS-109","","HELADO 2222","42","68","51","1","1","2","0","0","0","","12.50","12.50","1","1","","2","0.00","0","0","0","1"
"210","HELADOSCABRERA-33","","HELADO FRUTILLA 1/2 LT","42","68","51","1","9","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"211","VARIOS-111","","CAPPUCCINO VAINILLA - SN","42","68","51","1","1","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"212","HELADOSCABRERA-35","","HELADO CHOCOLATE 1/2 LT","42","68","51","1","9","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"213","HELADOSCABRERA-36","","HELADO DULCE DE LECHE 1/2 LT","42","68","51","1","9","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"214","HELADOSCABRERA-37","","HELADO GRANIZADO 1/2 LT - SN","42","68","51","1","9","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"215","HELADOSCABRERA-38","","HELADO CAFE 1/2 LT","42","68","51","1","9","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"216","VARIOS-107","","BUDIN DE LECHE (SNACK)","41","67","48","1","1","2","0","0","0","","6.50","6.50","1","1","ANTES HELAO DE LITRO","2","0.00","0","0","0","1"
"217","VARIOS-112","","MOKACCINO - SN","42","68","51","1","1","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"218","HELADOSCABRERA-41","","HELADO VAINILLA CON MANJAR 1/2 LT","42","68","51","1","9","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"219","HELADOSCABRERA-42","","MOCOCHINCHI EN VASO SN","42","68","51","1","9","2","0","0","0","","1.00","6.50","1","1","","2","0.00","0","0","0","1"
"220","HELADOSCABRERA-43","","HELADO PIÑA CREMA 1/2 LT","42","68","51","1","9","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"221","HELADOSCABRERA-44","","HELADO RON CON PASAS 1/2 LT","42","68","51","1","9","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"222","HELADOSCABRERA-45","","HELADO CHOCOLATE NUEZ 1/2 LT","42","68","51","1","9","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"223","HELADOSCABRERA-46","","HELADO MENTA CHIPS 1/2 LT","42","68","51","1","9","2","0","0","0","","6.50","6.50","1","1","","2","0.00","0","0","0","1"
"224","HELADOSCABRERA-47","","HELADO DOBLE 2 X 20 - SN","42","68","53","6","9","2","0","0","0","","7.00","0.00","1","1","","2","0.00","0","0","0","1"
"225","VARIOS-113","","CUÑAPE SN","41","68","51","1","1","2","0","0","0","","2.50","12.50","1","1","","2","0.00","0","0","0","1"
